family,method,questions,configuration,scientific_status,source_metrics_sha256,completion_receipt_sha256,Hit@10_mean,Hit@10_sample_std,NDCG@10_mean,NDCG@10_sample_std,MRR@10_mean,MRR@10_sample_std
cosine_bge_m3,LLM reranker,754,cyankiwi/gemma-4-26B-A4B-it-AWQ-4bit; revision=4033b16200f4152e55e100ea12dc388c537df622; K_in=20; K_out=10; temperature=0; parser=strict_json_subset_then_stable_dedup_and_pool_order_completion,exploratoire,08b96023f25a9a36d8041c4f8ef5341e4927466dfae581a92b9e4156e12e2d1c,456b810a773ae1cafe7ec8d5ec909b19986c797379deec7079e463018484d8e5,0.2708885941644562,0.43850079642961826,0.2202137203940621,0.3816775665306084,0.20725811544777065,0.3777762464492308
ppr,LLM reranker,754,cyankiwi/gemma-4-26B-A4B-it-AWQ-4bit; revision=4033b16200f4152e55e100ea12dc388c537df622; K_in=20; K_out=10; temperature=0; parser=strict_json_subset_then_stable_dedup_and_pool_order_completion,exploratoire,08b96023f25a9a36d8041c4f8ef5341e4927466dfae581a92b9e4156e12e2d1c,456b810a773ae1cafe7ec8d5ec909b19986c797379deec7079e463018484d8e5,0.276525198938992,0.44036844946464854,0.22805469725764663,0.38745535216943944,0.21645404404025095,0.3847236266135594
lightgcn,LLM reranker,754,cyankiwi/gemma-4-26B-A4B-it-AWQ-4bit; revision=4033b16200f4152e55e100ea12dc388c537df622; K_in=20; K_out=10; temperature=0; parser=strict_json_subset_then_stable_dedup_and_pool_order_completion,exploratoire,08b96023f25a9a36d8041c4f8ef5341e4927466dfae581a92b9e4156e12e2d1c,456b810a773ae1cafe7ec8d5ec909b19986c797379deec7079e463018484d8e5,0.29288240495137047,0.4476458218115361,0.24367187435123838,0.3969293744750484,0.23235916382468108,0.3949335717212527
